region_area_,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
region_area_1,3.716080075,180.1968112,18630.36267,6.330435263,,602.9903591,15.28501312,56.44407628,4.500656275,0
region_area_100,4.270716195,217.6115992,24405.55535,7.086699517,297.9518523,359.6239104,13.58352645,54.58983954,3.763905903,0
region_area_1000,6.648849186,232.4620127,30733.80865,5.656461603,344.6703355,267.8091794,17.86344368,35.41118142,4.827527398,0
region_area_1001,,261.7536375,21174.71329,7.314073967,,582.8484072,15.21584889,90.36745504,4.217553378,0
region_area_1002,9.323583858,263.4845605,15751.48011,5.196259493,297.5936252,409.8787042,10.72726549,74.66928506,3.006650222,0
region_area_1003,4.581968728,236.871806,33897.37301,6.053591675,317.2979045,416.487378,19.80484804,62.43830348,4.500207625,0
region_area_1004,7.884841993,280.0165505,21734.13285,7.598270848,315.9350969,378.8758937,11.74039928,49.91932225,4.631640754,0
region_area_1005,6.168838539,289.0749384,24827.82145,7.415200338,270.2352864,492.7783273,22.19699022,79.2842811,4.435760073,0
region_area_1007,,285.7784884,3901.218702,6.633918904,287.5102146,563.5990322,19.52301315,84.96273972,4.071343675,0
region_area_1008,8.693104326,235.5467,13284.08286,6.217004049,349.2999052,571.0709102,14.08334793,71.84884511,2.898223061,0
region_area_1009,,245.5799821,32981.54427,9.24997467,,296.8994316,10.52088906,72.02014736,3.231679693,0
region_area_101,7.348844512,274.0388304,11519.35134,8.584748059,,504.2634341,18.25037425,73.83052202,4.880875156,0
region_area_1014,5.487876363,229.9808738,20162.32343,4.906619727,306.0092552,520.7143851,12.69347481,58.97655798,4.223576482,0
region_area_1015,,257.3517337,40710.8292,8.508855468,321.194441,478.1567147,14.62849976,71.56544718,5.486132309,0
region_area_1016,8.315959071,272.0441134,16123.60926,9.170990508,348.9224439,511.7789826,22.26474723,75.47997409,2.760212574,0
region_area_1017,8.551077748,267.1898228,28909.59509,6.63197172,295.9688198,521.0000007,16.30737144,79.97432286,4.04637969,0
region_area_1018,6.013160966,269.6171468,21574.05238,8.99104138,321.9134264,454.381635,14.84934737,62.55823905,3.455622541,0
region_area_102,8.52616987,226.386727,11837.42817,7.178898217,309.1436287,484.3454823,21.95091625,52.48720111,5.083014142,0
region_area_1020,5.218989651,215.5648822,27008.19172,6.287706338,,432.3288018,14.17587898,74.03531968,4.383942554,0
region_area_1021,,291.2036775,25959.91871,10.26678568,,456.8479748,13.67847103,80.38337179,3.358353455,0
region_area_1022,7.458707683,258.5604641,10513.60159,8.615822304,,452.4731431,18.83030225,44.01308751,2.938082397,0
region_area_1023,11.02787986,279.0966883,13124.41045,7.211832594,320.0991526,386.3369179,8.13885864,48.64403793,4.178897909,0
region_area_1024,6.72958019,292.9380366,17975.85804,9.503840535,322.9802146,450.9644348,13.67622272,62.29447698,4.003458052,0
region_area_1026,7.159398311,222.589996,28955.10582,5.512279674,358.073872,540.6314113,18.22204226,79.20944035,3.254926497,0
region_area_1028,6.209697437,220.0923955,22611.07352,4.57060326,328.1250517,559.3817283,17.12011804,51.62050828,3.893766831,0
region_area_1029,,229.5516068,10491.1438,7.228231381,354.8027617,377.8636892,14.77395005,57.51646512,4.126407533,0
region_area_1031,5.375895979,204.486765,56868.16405,7.58927555,,503.9934638,15.22102281,57.82799204,4.17421964,0
region_area_1032,8.69712216,217.2266649,27752.30505,5.046112911,373.0092125,403.6607957,13.85366795,75.13954461,4.180567593,0
region_area_1033,7.748928548,249.6169849,18940.24147,7.071072481,317.5653616,378.5078571,10.08903341,65.3665508,3.136945007,0
region_area_1034,7.117917746,266.8902093,20067.8776,9.300840196,349.8300621,342.076661,17.6441297,84.14785792,4.213567957,0
region_area_1036,5.524296531,207.916315,26220.47902,6.039774654,380.5334896,485.4472715,17.00818031,51.22161421,4.033391218,0
region_area_1037,10.20142576,241.5729697,8919.197411,4.595064189,307.2404827,341.4839519,18.63043363,68.66244754,3.964449588,0
region_area_1038,5.368125754,241.71187,32619.61779,7.794028224,352.103247,445.7714692,12.08863521,108.0158419,2.004142586,0
region_area_1039,8.937802408,198.6907828,10562.76535,3.389464378,371.9214264,490.4252177,17.08575499,61.2730474,2.831234426,0
region_area_1040,8.124207826,258.2834058,26489.41951,8.236026755,318.8047371,441.7306772,10.18059844,64.0992249,4.724456578,0
region_area_1041,7.184973119,251.8531101,25234.73278,4.911873863,284.4897247,394.1165576,12.53253833,23.25161102,3.665410662,0
region_area_1045,6.369111631,286.1148334,34457.10594,8.866129339,296.0956375,367.5222848,9.318267539,59.39526924,2.275903461,0
region_area_1046,6.733493842,248.3365553,27430.74654,5.730276257,304.6827833,407.7899857,19.49902667,54.62572514,3.178003605,0
region_area_1049,8.272055091,254.9992198,24196.82749,8.143594604,333.6354956,510.7898732,15.26240752,71.13774371,5.140207743,0
region_area_1050,8.746985976,199.1676144,22175.08595,5.154361212,370.1149945,417.4858249,15.99707853,72.27901932,4.763730536,0
region_area_1051,8.154840855,253.0912254,25621.07618,7.346857817,367.9694104,607.9750732,11.90784674,72.49976153,3.696327575,0
region_area_1052,9.045720545,272.9580598,22829.41565,7.305022455,293.8075725,568.8528629,15.46258277,44.67026428,4.213700444,0
region_area_1056,8.184410006,217.4104445,17945.15719,3.734144418,332.6993126,373.3407556,12.64083833,56.42559225,4.5990822,0
region_area_1057,7.636454091,289.709965,18136.5664,10.78171563,352.3039239,525.0690601,8.742461294,55.71851213,3.332906497,0
region_area_1059,7.617148871,247.3808327,27080.57353,7.077944262,345.9250005,339.1216464,8.652283221,60.25970242,2.391540006,0
region_area_1060,6.664934584,269.543899,16477.65562,7.020190188,300.5916366,422.4135879,17.29768526,41.15078909,4.502138214,0
region_area_1061,,232.935771,30647.12009,6.020351034,295.7112015,414.2251524,14.81728463,106.4867198,3.855772964,0
region_area_1062,8.815357953,259.1049747,26780.9966,6.919151246,329.8647983,440.5118943,7.256750616,88.52829592,2.87588018,0
region_area_1064,6.225152013,220.5150622,29533.91364,5.270106502,,390.2197511,17.70050987,75.63405904,2.770822653,0
region_area_1066,8.56704382,210.9917577,23683.415,3.982119784,361.0313951,500.6175389,9.132167172,67.59122913,2.804926824,0
region_area_1068,3.344588533,207.2538175,55335.00761,8.22529096,371.8928836,495.7361478,17.08560997,69.73749007,2.575141031,0
region_area_1069,,249.4288665,20063.79514,9.235173308,345.363648,423.0842013,9.872080689,43.25699975,4.565423282,0
region_area_1070,,243.0280526,21762.91896,6.954827617,332.3947717,407.3678257,18.36621295,46.09662418,4.344804944,1
region_area_1072,,223.5053235,28894.78178,3.94610617,245.0302583,569.7343401,21.44584926,51.38971187,2.959749614,1
region_area_1073,7.203438849,219.2192486,22826.78951,5.978439095,272.6371578,447.4758632,16.51565407,64.62092258,6.389161009,1
region_area_1074,6.150487601,291.662313,6342.807653,9.305085192,422.0882997,364.4975259,12.44538423,83.35366139,3.551655811,1
region_area_1075,,276.732983,9660.963113,8.52284392,398.6693535,325.855909,16.82155697,17.11568293,3.959293615,1
region_area_1076,6.767523658,254.5249464,21163.03155,4.927939107,251.8074971,345.0103758,13.31932417,79.97800941,3.300253498,1
region_area_1077,8.037430327,199.1891996,48410.77582,4.451069074,268.957009,403.0062057,12.5716097,,2.506238127,1
region_area_108,6.098156521,240.7697367,27777.20586,6.138287257,348.6755136,255.964632,14.74188226,73.53963246,3.977362364,0
region_area_1081,8.546145555,228.6201351,23349.79023,7.347262624,353.5621659,423.4265995,12.46238526,108.964568,3.505300168,1
region_area_1082,5.432512085,282.1254664,14970.95205,8.875892571,410.733574,458.9697411,10.94324882,65.66321586,3.874425315,1
